,ibns_20u,vgs_m1,name,type,time,OK
0,19.92378,0.6846586,tran_SchGtKttmmTtVt_29,Sch,Mon Sep 29 19:35:01 2025,True
1,21.735059999999997,0.6875607,tran_SchGtKttmmTtVt_28,Sch,Mon Sep 29 19:35:00 2025,True
2,22.24485,0.6900242,tran_SchGtKttmmTtVt_27,Sch,Mon Sep 29 19:35:00 2025,True
3,20.69714,0.6879271,tran_SchGtKttmmTtVt_26,Sch,Mon Sep 29 19:35:00 2025,True
4,20.798650000000002,0.6841189,tran_SchGtKttmmTtVt_25,Sch,Mon Sep 29 19:35:00 2025,True
5,20.35191,0.6872694,tran_SchGtKttmmTtVt_24,Sch,Mon Sep 29 19:35:00 2025,True
6,21.618779999999997,0.6877603,tran_SchGtKttmmTtVt_23,Sch,Mon Sep 29 19:35:00 2025,True
7,21.180300000000003,0.6892293,tran_SchGtKttmmTtVt_22,Sch,Mon Sep 29 19:34:59 2025,True
8,21.40811,0.6877827,tran_SchGtKttmmTtVt_21,Sch,Mon Sep 29 19:34:59 2025,True
9,21.36912,0.6887278,tran_SchGtKttmmTtVt_20,Sch,Mon Sep 29 19:34:59 2025,True
10,19.81008,0.6821196,tran_SchGtKttmmTtVt_19,Sch,Mon Sep 29 19:34:59 2025,True
11,21.027559999999998,0.6872101,tran_SchGtKttmmTtVt_18,Sch,Mon Sep 29 19:34:59 2025,True
12,20.51479,0.6870818,tran_SchGtKttmmTtVt_17,Sch,Mon Sep 29 19:34:59 2025,True
13,19.13636,0.681562,tran_SchGtKttmmTtVt_16,Sch,Mon Sep 29 19:34:59 2025,True
14,20.22702,0.6855836,tran_SchGtKttmmTtVt_15,Sch,Mon Sep 29 19:34:58 2025,True
15,21.30659,0.6850504,tran_SchGtKttmmTtVt_14,Sch,Mon Sep 29 19:34:58 2025,True
16,21.453020000000002,0.6891763,tran_SchGtKttmmTtVt_13,Sch,Mon Sep 29 19:34:58 2025,True
17,21.76553,0.689158,tran_SchGtKttmmTtVt_12,Sch,Mon Sep 29 19:34:58 2025,True
18,19.810660000000002,0.684108,tran_SchGtKttmmTtVt_11,Sch,Mon Sep 29 19:34:58 2025,True
19,19.694670000000002,0.6838222,tran_SchGtKttmmTtVt_10,Sch,Mon Sep 29 19:34:58 2025,True
20,20.09167,0.6846621,tran_SchGtKttmmTtVt_9,Sch,Mon Sep 29 19:34:57 2025,True
21,21.73029,0.6885791,tran_SchGtKttmmTtVt_8,Sch,Mon Sep 29 19:34:57 2025,True
22,20.21231,0.6854588,tran_SchGtKttmmTtVt_7,Sch,Mon Sep 29 19:34:57 2025,True
23,19.39022,0.6848454,tran_SchGtKttmmTtVt_6,Sch,Mon Sep 29 19:34:57 2025,True
24,19.52723,0.6830523,tran_SchGtKttmmTtVt_5,Sch,Mon Sep 29 19:34:57 2025,True
25,19.189700000000002,0.6813218,tran_SchGtKttmmTtVt_4,Sch,Mon Sep 29 19:34:57 2025,True
26,19.60838,0.6851014,tran_SchGtKttmmTtVt_3,Sch,Mon Sep 29 19:34:57 2025,True
27,19.076140000000002,0.6808158,tran_SchGtKttmmTtVt_2,Sch,Mon Sep 29 19:34:56 2025,True
28,20.08628,0.6846798,tran_SchGtKttmmTtVt_1,Sch,Mon Sep 29 19:34:56 2025,True
29,20.93065,0.6859444,tran_SchGtKttmmTtVt,Sch,Mon Sep 29 19:34:56 2025,True
